text,actual,predicted
Across the – commerce and payments are an area that I'm quite focused on and optimistic about across all of our different services.,claim,claim
"A year ago, Q3 was actually a little low.",premise,premise
On the DAU impact any Advertiser response our business is strong.,claim,claim
"So compared to November a year before, the number of their app installs increased by 115%.",premise,claim
"As I talked about earlier, that’s one factor customers save a lot of money, but the primary motivator is really around the innovation that AWS enables and the ability for developers to move really quickly.",claim,claim
"India's growth, as you know, is very good.",claim,claim
"I mean, we have Facebook Marketplace is probably the most advanced and hundreds of millions of people use that to buy and sell things.",premise,claim
And he mentioned we are feeling I think a lot of excitement from the ecosystem about what's possible with some of the new devices that will come.,claim,claim
And we've added a very useful service to our developers.,premise,claim
And we've tried hard to have an iPhone that is as affordable as possible for people that really want an iPhone but may have a more limited budget.,claim,claim
"We are continuing to drive operational improvement in every business that we are in, but we are also investing in large opportunities that are in front of us, particularly in Marketplace Prime and AWS.",claim,claim
"The thing that Heather we are focused on is how do we make sure that not only do we -- the incremental value that we have today on Windows 8 gets adopted; there are in fact lots of use cases especially around field devices, mobile workforce where we are in fact seeing great adoption of Windows 8.",premise,claim
So I don't think of it as reflecting a bigger shift than we've seen in particular this quarter.,claim,claim
"So we ran a bunch of qualitative studies and talked to a bunch of people and incorporated those signals into the model, and that has had the result that the people in our community who gave us that feedback and who we worked with on this, what we had expected in terms of both increasing the quality of the content that people see, and therefore also enabling people to share more with their friends and the people that they want.",premise,claim
"And because of that, you're actually already seeing that impact in the MPC gross margins.",claim,claim
"Now, that being said, I am pleased obviously, to be able to access the cash more easily and not has to go through the debt market to be able to make these choices",premise,claim
"In fact, you can think of it as a price cut for anybody who cares about being very, very smart about cloud consumption",premise,claim
What you are seeing is two things.,claim,claim
"In terms of expectations, I think we were pleased with what we saw this Q4 and, you know, if you look at what we gave for guidance, we were in the upper half of the range there for revenue.",claim,claim
"I would say from a Gaming perspective, one of the bigger changes that has happened in the last, I would say, couple of years is one, of course the vibrancy of the Xbox Live network across the PC and the console and now increasingly even on the phone because of titles like Minecraft.",claim,claim
Video is one of the big drivers of engagement growth on Facebook.,claim,claim
"We think once we do, the returns will be good.",claim,claim
"What we're also seeing as we look at people that start paying on our stores, we see a pretty common trend over time.",claim,premise
We did adopt that revenue recognition standard in 2018 as I mentioned.,premise,claim
"because if you think about the $1 billion plus beat we had for the unearned, it was due to the fact that we had very good mix shift Office 365 in terms of billings in the quarter, almost very little of that gets recognized in quarter.",premise,claim
"And so I'm very, very bullish and very, very optimistic about India.",claim,claim
I think it's definitely on the Fire TV devices as well is a great way to consume content.,claim,claim
"Overall, I would say even in this last year, even just a broader spread of E3 has driven a lot of the growth.",claim,claim
We have significant content from the U.S. market.,premise,claim
"Just to give you a sense, on a year-over-year basis, when I look at foreign exchange, that has an impact of almost 300 basis points on our margins.",premise,claim
"So overall, you will see us do good work on the console, we'll compete there.",premise,claim
They're not coming necessarily to engage in a specific type of video or specific community around video.,premise,premise
"I think there is so much more we can do to make ads more relevant on Facebook and so much more we can do to measure results, and I think our future growth will depend on executing on that very well.",claim,claim
It makes Prime stronger and then that's a self-reinforcing where Prime then – the Prime success attract mores sellers.,premise,claim
"One of the things, Heather, that's happening is there is growth in Azure across each of the layers.",claim,premise
"So instead of focusing on ads first, what we did was we built pages, and we made that free, that way as many businesses as possible could get into the network.",premise,claim
"And I think the answer largely is the same as I've given on previous calls, which is the U.S. and Canada segment is really a pure-play developed market, which is U.S. and Canada is the 2 countries in that segment.",claim,claim
"The opportunity, full-screen, authentic, very engaging, different format than feed, gives us an opportunity to grow.",premise,claim
"They're more correlated to the active installed base and also the level of transacting customers that are there and the amount per customer, which relates also to the offering that we have.",premise,claim
"And more importantly than the total number, we are in many more cities than we were before.",premise,claim
"Part of that is due to the fact that we don’t have as many direct response formats in Stories, so that reduces the opportunities for conversion opportunities on Stories.",premise,premise
But 2015 is a big investment year for us across the board.,claim,claim
"So if you adjust for those, with the Whole Foods growth year-over-year on an apples-to-apples basis was approximately 6%.",premise,claim
"And so what you can then see, relating to the second half your question, is that we are taking some of those savings and investing them back into the business in some of these key growth areas we've seen.",claim,claim
"Well, ultimately, I'll step back and say one of the main things we look out on Prime Video is customer usage patterns and in 2016 we had a doubling of Prime hours for video, music and reading.",premise,claim
"Of course, we have a very strong mid-tier this year in the portfolio, with 6 and 6 Plus.",premise,claim
"Again, it was a very strong operational quarter in Q4, and we've expanded the number of items that shipped free.",premise,claim
And I would imagine that that will come and contribute to our business through advertising in the way that it has historically.,claim,claim
So we've now been -- we're now a year or so into -- starting to build out a lot of that.,premise,premise
"So, this $1 billion investment will help to enable $10 billion in cumulative Indian exports by 2025.",premise,claim
"Sure well, I mean we do a lot of stuff around commerce.",claim,premise
"We just passed our Fifth Year Anniversary – celebrated our Fifth Year Anniversary, as the most visited site in India.",premise,claim
"So, we're building global scale in that business in both content and marketing.",claim,claim
"I would also say, it's not all about iPhone in China, the services area grew double digit.",claim,claim
I would just add that we did see that premium mix go up in Office 365 on the commercial side as you were noting.,premise,premise
And all they need is just a very robust field service module that's cost-effective and efficient.,premise,claim
So video is effectively winning in the auction if it's higher priced.,premise,claim
I think there's lots more to do.,claim,claim
We -- and it's consistent with the rest of what we're trying to do on creating these other tabs and social utilities as well.,claim,premise
"Our 6 million advertisers come from those pages,",premise,claim
"So if anything, the mix shift on growth towards Stories is certainly in the near term a headwind on revenue growth.",claim,claim
"And so we are learning as we go, learn as we grow internationally as well.",claim,claim
"We usually quote the number of new features and services to you each quarter, we had 214 in Q1, up from 170 the first quarter of last year.",premise,claim
"And the process for that is often that small businesses become organic users, so those 40 million small business Pages that are using it once a month and then we're able to move them onto being advertisers.",premise,claim
We gained share during the quarter.,premise,claim
because it comes at the low end of the range.,premise,premise
But what really matters to us and what we look at -- when we look at the elasticity of these programs is to see the impact on our gross margin dollars.,claim,claim
We're not doing this to be positive or negative for revenue.,claim,claim
"Next, I think across every service the momentum we’ve seen in Q4 and in particular, I would say, I think not many people focus on it, but even things like Windows E5, advanced threat protection services, those types of deployments really will add to momentum in our offerings.",claim,claim
"It's entirely due to the shift to the cloud, both in our Productivity and Business Process segment as well as the Intelligent Cloud segment.",premise,claim
So we're very excited about continuing to do our work to help unlock all the expression and connection that people want to do.,claim,claim
We expect to see continued ramp of the one-day selection availability for the next few quarters both in North America and international.,claim,claim
because in some sense we've taken a very different approach with this Windows-as-a-service even when it comes to OEM relations and how they're able to co-create the products with us.,premise,claim
So we're pretty confident that this is going to keep on growing.,claim,claim
Some people hold onto those for the life of the product and some people trade them in.,premise,premise
I'll just remind you that the units – those do not count in our unit totals nor do the units from Whole Foods Market.,claim,claim
So that gives us some degree of confidence there in addition to our own execution on other things.,premise,premise
"So we see the combination and they're not all happening coincident, but there is time lag in it but therefore that’s one of the reasons why we want to be very aggressive in getting the workloads on to Azure both storage and compute; and even in the storage and compute, we now have premium offerings for higher SLA, for higher performance, higher VM sizes and then on top of that, we have these managed services which have a different margin profile.",premise,claim
"Overall, I think some of the trends that you've referenced, whether it's Tier 1 workloads or serverless or even complete data center migrations, all of that is happening.",claim,claim
"For example, video content spend will increase year-over-year, and we'll continue to hire, in particular, software engineers.",premise,claim
"We have a ton of energy going into the country on a number of fronts, and it is the third largest smartphone market in the world today behind China and the United States.",premise,claim
"So, on the apps question, the ones that have done the best are things that augment core Facebook functionality for large subsets of the community.",claim,claim
"So I think what you're seeing in terms of year over year and what does it mean for next year, this next quarter, it will be a sequential increase, but again, it is a bit lumpy.",claim,claim
"It's the real challenge is to grow the market, because if you add everyone up that's providing subscription music today or streaming music, it's, outside of China, it's less than 200 million probably around the world.",premise,claim
And it's good to see that kind of growth at that kind of scale now with $8 billion.,premise,claim
So I would say there is a real good mix of those two.,premise,claim
That means things are always changing.,claim,claim
"So we're continuing to invent both on the product side, the tools side with our goal being improve the usability of the tools for advertisers, make smarter recommendations for customers, automate activities so that advertisers don't have to work as hard, and invent new products for advertisers.",claim,claim
"And to answer your question about what category it starts in, just take a look at what's already on the web in terms of what people are doing and it is all over the place.",claim,claim
"Really, Karl, what can drive that in addition to the overall gross margin improvement we talk about in the cloud, it's also really the strength we see in our Windows business.",claim,claim
"because if you look at our size versus the number of projects we have going, it's much smaller compared to most.",premise,premise
And so that’s our current plan.,claim,claim
"Our goal when we work with marketers is to drive their business, and that means their products off the shelves, their services into the hands of people, and so in order to do that well, we need to work on targeting and we need to work on measurement.",claim,claim
"In addition, we’ve introduced restrictions on the use of certain targeting criteria from some ads.",premise,claim
It’s important to note that it’s not just large brand advertisers that are doing video but all of our market segments.,claim,premise
We've been working on our network for about 20 years to be able to enable some of the really fast delivery with things like Prime Now.,claim,claim
We want to be able to make sure that we compete on all price points and overall grow the volume.,claim,claim
We’re not -- you won’t have any specific stats other than the hours per day -- or sorry time spent per day that Mark mentioned on video.,premise,claim
"On Instagram, we have 25 million Instagram business profiles, of which 2 million are advertisers.",premise,premise
Definitely a part of the story here is video.,claim,claim
"So, I’m quite confident that when we can roll this out broadly it’s going to be meaningfully valuable to the user experience.",claim,claim
And we support them with their hybrid computing needs and their AI needs.,claim,claim
We wanted to take -- we will see where people's tastes and preferences will take them.,claim,claim
"And those are Internet.org efforts, Android product improvements that we've continued to make a big area like Android – Facebook Lite platform on Android has been a great grower for us.",premise,claim
"On the services side, we're thrilled with the results.",claim,claim
"And I think people broadly are starting to get that more, which is why things like encryption are so attractive to people and why features around ephemerality or keeping data less permanently are becoming increasingly important.",claim,claim
"And compared to Facebook lead ads, which were already performing well, those ads had 2.4x more qualified leads and a 4x increase in sales.",premise,claim
"Third-party units are now up to 48% of paid units and that's up 400 basis points year-over-year, so that continues to be a factor in gross margin.",premise,claim
"U.S. and Canada, sort of consistent with past quarters, has been flat at about 185 million, and we would expect that to continue to bounce around.",premise,claim
"So with targeting, a more relevant ad is just better, it's better experience for consumers because they see something they like in their News Feed and it has a higher return for marketers.",premise,claim
"The iPad, Steve, we had a 1.6 million-unit swing on channel inventory between the years.",premise,claim
That value prop is resonating.,premise,claim
"So for example, that means being able to read and understand news articles or posts that people make or messages that a person might send to a business so we can help that business auto-reply to them and get information back to the person really quickly, or understand the content so we can better understand what might be interesting to a person and show it in News Feed.",premise,claim
"That technology continues to improve, and we have – we're now multiple generations down.",premise,premise
"When it comes to our appetite for M&A, actually it has remained unchanged, which is when things meet our criteria and when we feel like it's in core areas for us, where markets are expanding, where the companies have a unique asset, I think that our ability to both execute on those and see them both execute on their own and execute inside Microsoft, I actually feel quite good that we don't worry about our ability to do them, but I wouldn't say that's new this quarter.",claim,claim
That's our strategy for growing the business.,premise,claim
"I think, as you saw in the release, there are some new devices that take advantage of the underlying service that we think will be really convenient for sellers and interesting for device makers.",claim,claim
"But on the other hand, from our perspective, we're not a company that's traditionally done hardware or built operating systems or these kind of products.",premise,claim
I even look at the growth of virtual machine instances on Azure.,premise,claim
I don't view it that narrowly quarter to quarter or even year to year.,claim,claim
We’re seeing broad sales across all categories.,claim,claim
One of the important things that's distinct about the small business market is that there tends not to be much of a lag in terms of buying and deployment.,claim,premise
"Some of that is in Q2, you'll see that more in the next few quarters.",premise,claim
"In terms of gross margins, and you know that we look our gross margins on a sequential basis, the gross margin percentage after the offset that we're getting from the hedging program will be impacted by over 100 basis points.",claim,claim
But we're very happy with the year-over-year improvement.,claim,claim
"And so -- and I feel like we are reasonably well positioned in China, I’m sure we can do better, but I think we are doing fairly well there.",claim,claim
We certainly have additional delivery capability of our own.,premise,claim
"And if you look at China, they’re almost 70%.",premise,claim
"When I look at the customer stat on iPad, it's literally off the charts, in some cases a 100%, which is unheard of in surveys to get these kind of customer stat ratings.",premise,claim
"When we mentioned E5, I think that’s frankly encouraging for us because all of these premium offers do best when you start the deployment motion.",claim,claim
"For the first time, what you see across Microsoft is really one platform which spans all of these businesses and all of the margin structures that are there represented in it.",claim,claim
It was the highest ever by far.,premise,claim
because there are lots of different segments for what people are trying to do.,premise,premise
"In fact, more Prime members joined India's Prime program in the first year than we've seen in any other country in the history of the world, our world.",premise,claim
"In terms of integrating them, no, we're not going to do that.",claim,claim
And I think we've done a good job.,claim,claim
"Mark, as I talked a bit about, we've seen a mix shift as we have moved Office 365 and Azure to our premium service and to premium SKUs within our cloud environment, that is one of the drivers that helps improve margin growth.",claim,claim
"I think our targeting abilities are really second to none, and I'll share a recent example.",claim,claim
"So, really good strong growth across the globe on a DAU to MAU ratio.",premise,claim
"Right so establishing, we have to rewrite the networks on Messenger and on Instagram to be more client and server oriented to be end-to-end encrypted.",claim,claim
"But independent of that, yes, you're right; Prime membership continues to grow.",claim,claim
Perhaps SharePoint was the last time we had a platform effect of this kind.,premise,claim
"So the content that we are creating, especially through Amazon Studios, we are generally holding the worldwide rights to and can use that in other countries as well.",premise,claim
We believe that it’s the best smartphone in the world.,claim,claim
And I expect piloting to start and deployments to start in the second half of the fiscal year.,claim,claim
"I don’t show much joy, but I am happy.",claim,claim
We look at the stuff that Apple is doing with Apple Pay for example as a really neat innovation in the space that takes a lot of friction out of transactions as well.,premise,claim
"So on the second one, I would say we’re certainly very diligent on trying to catch counterfeit products.",claim,claim
"We started Amazon Flex in India, which helps our local partners to deliver packages, gives them jobs, grows our delivery capacity for sellers and increases our speed of delivery.",premise,claim
"If anything, I think our cycle times have significantly come down.",premise,claim
"So you know there’s a lot of factors at play there on the enterprise business, but we are having great success and we’re adding a lot of sales force or sales representatives, especially for the enterprise market.",claim,claim
Then we have a very common platform both for first party workloads as well as our third party business.,premise,premise
"They're both important products clearly, but everybody has their iPhone at home as well and everybody has their Mac at home and everyone has their iPad at home.",premise,claim
"And before working with us, they really only invested in traditional media.",premise,premise
"And then in addition, in Q4, and over the longer term, we do continue to expect to face ad targeting related headwinds and uncertainties.",claim,claim
"And so, we're always testing different levels of that and trying to understand, and the various features, whether it's display or some of the sponsored elements that are out there, what kind of feedback is out there, but certainly keep that in mind as we roll out new things.",premise,premise
"But at the same time, we are going to have a great server wave.",premise,claim
"So early days, but I think a lot of potential here.",claim,claim
"So on gaming, we feel good about Xbox One X, the premium console launch.",claim,claim
There's a motion around renewals and there's a motion around new.,claim,claim
I think we're very happy with the FBA program.,claim,claim
"The WhatsApp Business app has launched, and we now have more than 3 million people actively using it to test business solutions.",premise,claim
The big step forward that we announced at F8 is that there are lots of different apps that have cameras in them or that independent developers just build an app that has a single camera effect.,premise,claim
"One thing to keep in mind as we look at this guidance range is the fact that we also contemplated the comparison to the launch of the iPad Pro, a year ago for iPad as well as the new MacBook Air that was launched during the December quarter last year",premise,premise
The things that I would point to are things like AI as well as our investments in AR and VR.,premise,claim
"Again, I would say that we're very happy with the Prime membership growth and it has remained pretty consistent both in Q4 and then through Q1 and Q2 of this year.",claim,claim
We think AWS is that.,premise,claim
"And so we're very much, we're confidently investing in the future, and that's the reason you see the R&D spend increasing.",claim,claim
"And it won't be very transparent to you, and that's how it is.",premise,claim
"We grew 16%, which we're very happy with.",premise,claim
"We rolled out a lot of additional Prime features internationally as well this year, from FREE Same-Day to Prime Now to Prime Music and Prime Video in Japan, to name a few.",premise,claim
But I do think that to some degree the last few years and next year are probably going to be the biggest growth in the investment in the security efforts that we'll see.,claim,claim
"I certainly would help you in that number and say a little lower, just so that you're getting into something closer.",claim,claim
We are investing in India.,claim,claim
"And certainly, everything that we've seen since then suggests that, that is right.",premise,claim
"So for sure, the sales cycles are different.",claim,claim
That’s going to be a big area of investment for us.,claim,claim
And I would say the rapid pace of innovation continues to stretch our lead in that dimension.,claim,claim
in Brazil and Mainland China more than doubling year-over-year which is 3x to 4x what those markets were doing according to IDC.,premise,claim
So we're proud about the efficiencies that we've had.,claim,claim
"Yeah, just one thing that's structurally I think, that we think a lot about and we're very disciplined about is our capital allows us to build all of the cloud services from Office 365 to EMS to Dynamics to Azure.",premise,claim
We are again working on two fronts.,claim,claim
"We've talked about the drivers of supply being growth in DAU, growth in time spent per DAU and ad load, and obviously, we've given stats around rough stats around – we've given specific stats around DAU.",premise,premise
It's not just what people think of as direct response advertisers.,premise,claim
"And then when it comes to how we’re thinking about expense growth as we look beyond 2019, we’re not providing specific guidance but I’d note that we continue to invest aggressively across the business and there’s no change in our long-term outlook on the need to invest heavily in areas like safety and security, innovation in our core product and infrastructure and the ultimate impact that those will have on our operating margin.",claim,claim
