actual,predicted
claim,claim
claim,premise
claim,premise
premise,premise
claim,premise
claim,claim
premise,premise
premise,claim
claim,claim
claim,claim
premise,premise
claim,claim
premise,claim
claim,premise
premise,premise
claim,premise
premise,claim
premise,premise
premise,claim
claim,claim
premise,premise
premise,claim
premise,premise
claim,premise
premise,claim
premise,premise
claim,premise
premise,premise
claim,claim
premise,premise
claim,claim
premise,premise
premise,premise
claim,premise
premise,premise
claim,claim
premise,premise
claim,premise
claim,premise
premise,premise
premise,claim
premise,premise
premise,premise
claim,premise
claim,claim
premise,premise
premise,premise
claim,premise
premise,premise
claim,claim
claim,claim
claim,claim
premise,premise
claim,claim
premise,claim
claim,premise
premise,premise
premise,claim
premise,claim
claim,premise
claim,claim
claim,claim
premise,claim
premise,claim
claim,premise
claim,claim
claim,claim
claim,claim
premise,premise
premise,premise
claim,premise
premise,premise
premise,premise
premise,premise
premise,claim
claim,premise
premise,premise
premise,claim
claim,premise
claim,claim
claim,claim
premise,premise
claim,claim
premise,premise
claim,claim
claim,claim
claim,claim
claim,premise
premise,premise
premise,premise
claim,claim
claim,premise
claim,claim
claim,claim
premise,premise
claim,claim
claim,claim
premise,premise
claim,premise
claim,claim
premise,premise
premise,premise
premise,claim
premise,premise
claim,claim
claim,premise
premise,claim
claim,claim
premise,claim
claim,claim
premise,claim
premise,premise
premise,claim
premise,premise
claim,claim
claim,claim
claim,premise
premise,premise
premise,claim
claim,claim
premise,premise
premise,premise
premise,premise
premise,premise
premise,claim
claim,claim
premise,premise
premise,premise
claim,premise
premise,premise
claim,claim
claim,premise
claim,premise
premise,premise
premise,premise
claim,claim
premise,claim
claim,claim
claim,claim
premise,claim
claim,claim
claim,claim
premise,premise
claim,claim
claim,premise
premise,premise
premise,premise
claim,claim
premise,premise
claim,premise
premise,premise
claim,claim
premise,premise
claim,premise
premise,premise
claim,claim
premise,premise
premise,premise
claim,claim
premise,premise
claim,claim
claim,claim
premise,premise
premise,premise
claim,claim
premise,claim
premise,premise
claim,claim
claim,premise
premise,claim
premise,premise
premise,claim
premise,claim
premise,claim
premise,claim
claim,claim
premise,premise
premise,claim
claim,claim
claim,premise
claim,premise
premise,premise
claim,claim
claim,claim
claim,premise
premise,premise
premise,premise
premise,premise
claim,premise
claim,claim
premise,premise
premise,premise
claim,claim
premise,premise
claim,claim
claim,premise
claim,premise
claim,claim
claim,claim
premise,claim
claim,claim
premise,claim
claim,claim
claim,claim
premise,claim
claim,claim
claim,premise
premise,claim
premise,claim
claim,premise
premise,premise
premise,premise
premise,premise
claim,premise
premise,premise
premise,premise
premise,premise
claim,claim
claim,claim
premise,claim
premise,premise
premise,claim
claim,claim
premise,claim
claim,claim
premise,premise
claim,premise
premise,claim
claim,premise
premise,claim
premise,premise
premise,premise
premise,premise
premise,claim
claim,claim
premise,premise
claim,claim
claim,claim
premise,premise
premise,premise
premise,claim
claim,claim
claim,claim
premise,premise
premise,premise
premise,premise
premise,premise
claim,claim
premise,premise
claim,premise
claim,claim
claim,claim
claim,claim
claim,claim
premise,premise
premise,premise
claim,premise
premise,claim
claim,claim
claim,claim
premise,premise
claim,claim
